,Team,Stadium,Lat,Lon
23,Cádiz,https://en.wikipedia.org/wiki/Estadio_Ram%C3%B3n_de_Carranza,36.502778,-6.273056
24,Villarreal,https://en.wikipedia.org/wiki/Estadio_de_la_Cer%C3%A1mica,39.944167,-0.103611
25,Mallorca,https://en.wikipedia.org/wiki/Estadi_de_Son_Moix,39.59,2.63
26,Tenerife,https://en.wikipedia.org/wiki/Estadio_Heliodoro_Rodr%C3%ADguez_L%C3%B3pez,28.463056,-16.260556
27,Racing Santander,https://en.wikipedia.org/wiki/Estadio_El_Sardinero,43.476389,-3.793333
28,Recreativo,https://en.wikipedia.org/wiki/Estadio_Nuevo_Colombino,37.246389,-6.954167
29,Almería,https://en.wikipedia.org/wiki/Estadio_de_los_Juegos_Mediterr%C3%A1neos,36.84,-2.435278
30,Córdoba,https://en.wikipedia.org/wiki/Estadio_Nuevo_Arc%C3%A1ngel,37.872294,-4.764642
31,Xerez,https://en.wikipedia.org/wiki/Estadio_Municipal_de_Chap%C3%ADn,36.689167,-6.120278
32,Linense,https://en.wikipedia.org/wiki/Estadio_Municipal_de_La_L%C3%ADnea_de_la_Concepci%C3%B3n,36.1585,-5.34025
33,Alavés,https://en.wikipedia.org/wiki/Estadio_Mendizorrotza,42.837111,-2.688044
34,Granada,https://en.wikipedia.org/wiki/Estadio_Nuevo_Los_C%C3%A1rmenes,37.152967,-3.595736
35,Osasuna,https://en.wikipedia.org/wiki/El_Sadar,42.796667,-1.636944
36,Albacete,https://en.wikipedia.org/wiki/Estadio_Carlos_Belmonte,38.981117,-1.852142
37,Getafe,https://en.wikipedia.org/wiki/Coliseum_Alfonso_P%C3%A9rez,40.325556,-3.714722
38,Salmantino,https://en.wikipedia.org/wiki/Estadio_El_Helm%C3%A1ntico,40.995278,-5.665
39,UD LogroñésSD Logroñés,https://en.wikipedia.org/wiki/Estadio_Las_Gaunas,42.453333,-2.453333
40,Barcelona B,https://en.wikipedia.org/wiki/Mini_Estadi,41.379722,2.118056
41,Badajoz,https://en.wikipedia.org/wiki/Estadio_Nuevo_Vivero,38.858922,-7.005886
42,Cartagena,https://en.wikipedia.org/wiki/Estadio_Cartagonova,37.609722,-0.996111
43,Mérida,https://en.wikipedia.org/wiki/Estadio_Romano,38.913933,-6.336406
44,Rayo Vallecano,https://en.wikipedia.org/wiki/Campo_de_F%C3%BAtbol_de_Vallecas,40.391944,-3.658961
45,Castellón,https://en.wikipedia.org/wiki/Nou_Estadi_Castalia,39.996053,-0.038792
46,Girona,https://en.wikipedia.org/wiki/Estadi_Montilivi,41.961389,2.828611
48,Lleida Esportiu,https://en.wikipedia.org/wiki/Estadio_Camp_d%27Esports,41.621267,0.614147
49,Cultural Leonesa,https://en.wikipedia.org/wiki/Estadio_Reino_de_Le%C3%B3n,42.5875,-5.576667
50,BurgosReal Burgos,https://en.wikipedia.org/wiki/Estadio_El_Plant%C3%ADo,42.344167,-3.680556
51,Jaén,https://en.wikipedia.org/wiki/Estadio_Nuevo_La_Victoria,37.776111,-3.786944
